fault_type,fault_mode,workflow,rows
data_leakage,direct,baseline,30
data_leakage,direct,oracle_true_fix,30
data_leakage,direct,xai_shap,30
data_leakage,indirect,baseline,30
data_leakage,indirect,oracle_true_fix,30
data_leakage,indirect,xai_shap,30
label_noise,hard,baseline,30
label_noise,hard,oracle_true_fix,30
label_noise,hard,xai_shap,30
label_noise,random,baseline,30
label_noise,random,oracle_true_fix,30
label_noise,random,xai_shap,30
none,none,baseline,30
none,none,oracle_true_fix,30
none,none,xai_shap,30
spurious_correlation,broken,baseline,30
spurious_correlation,broken,oracle_true_fix,30
spurious_correlation,broken,xai_shap,30
spurious_correlation,inverted,baseline,30
spurious_correlation,inverted,oracle_true_fix,30
spurious_correlation,inverted,xai_shap,30
